progress,loss,accuracy
2.32,0.0001,0.97
2.33,0.0,0.96
2.34,0.0,0.93
2.35,0.0,0.93
2.36,0.0004,0.93
2.37,0.0004,0.93
2.38,0.0005,0.94
2.39,0.0006,0.93
2.4,0.0008,0.94
2.41,0.0,0.96
2.42,0.0,0.96
2.42,0.0,0.93
2.43,0.0,0.94
2.44,0.0,0.94
2.45,0.0,0.94
2.46,0.0,0.97
2.47,0.0,0.96
2.48,0.0001,0.97
2.49,0.0,0.83
2.5,0.0005,0.53
2.51,0.0,0.65
2.52,0.0005,0.93
2.53,0.0008,0.94
2.54,0.0471,0.94
2.54,0.0008,0.96
2.55,0.0,0.94
2.56,0.0,0.93
2.57,0.0,0.93
2.58,0.0,0.88
2.59,0.0,0.92
2.6,0.0,0.88
2.61,0.0029,0.86
2.62,0.0,0.88
2.63,0.0,0.86
2.64,0.0,0.83
2.65,0.0001,0.88
2.66,0.0113,0.85
2.67,0.0276,0.89
2.67,0.0008,0.86
2.68,0.0008,0.88
2.69,0.0001,0.86
2.7,0.0001,0.86
2.71,0.0,0.88
2.72,0.0,0.86
2.73,0.0,0.88
2.74,0.0074,0.88
2.75,0.027,0.88
2.76,0.005,0.89
2.77,0.005,0.93
2.78,0.0103,0.94
2.79,0.0138,0.93
2.79,0.0059,0.92
2.8,0.0021,0.93
2.81,0.0006,0.94
2.82,0.0001,0.9
2.83,0.0,0.93
2.84,0.0014,0.94
2.85,0.0193,0.92
2.86,0.0267,0.89
2.87,0.0267,0.89
2.88,0.0278,0.88
2.89,0.0047,0.89
2.9,0.0024,0.92
2.91,0.0001,0.9
2.92,0.0,0.9
2.92,0.0021,0.89
2.93,0.0019,0.86
2.94,0.0006,0.86
2.95,0.0,0.86
2.96,0.0,0.88
2.97,0.0,0.86
2.98,0.0,0.88
2.99,0.0,0.9
3.0,0.0,0.88
3.01,0.0,0.89
3.02,0.0,0.89
3.03,0.0,0.88
3.04,0.0002,0.88
3.04,0.0,0.88
3.05,0.0,0.88
3.06,0.0,0.88
