progress,train_loss,train_accuracy,valid_accuracy,valid_loss
14.6,0.0003,0.94,0.89,0.0044
14.69,0.0003,0.95,0.92,0.0046
14.79,0.0002,0.95,0.89,0.0047
14.89,0.0003,0.95,0.89,0.0044
14.99,0.0003,0.94,0.91,0.0062
15.1,0.0003,0.95,0.89,0.0047
15.2,0.0002,0.96,0.94,0.0053
15.3,0.0003,0.96,0.91,0.0043
15.4,0.0002,0.95,0.92,0.0033
15.5,0.0003,0.95,0.91,0.0046
15.6,0.0002,0.95,0.94,0.0042
15.69,0.0002,0.96,0.92,0.005
15.79,0.0003,0.95,0.91,0.0054
15.89,0.0002,0.96,0.89,0.0053
15.99,0.0002,0.96,0.89,0.0043
16.1,0.0003,0.95,0.91,0.0047
16.2,0.0002,0.95,0.91,0.0053
16.3,0.0002,0.95,0.92,0.0053
16.4,0.0002,0.96,0.91,0.0044
16.5,0.0002,0.96,0.86,0.0045
16.6,0.0002,0.96,0.95,0.0052
16.69,0.0002,0.96,0.89,0.0071
16.79,0.0002,0.96,0.88,0.0054
16.89,0.0002,0.96,0.94,0.0045
16.99,0.0002,0.95,0.91,0.004
17.1,0.0002,0.95,0.92,0.005
17.2,0.0002,0.94,0.92,0.0059
17.3,0.0002,0.95,0.92,0.0074
17.4,0.0002,0.96,0.91,0.0045
17.5,0.0002,0.95,0.91,0.0049
17.6,0.0002,0.96,0.92,0.0067
17.69,0.0002,0.97,0.95,0.0047
17.79,0.0002,0.95,0.91,0.005
17.89,0.0002,0.95,0.94,0.0062
17.99,0.0002,0.95,0.88,0.0041
18.1,0.0002,0.95,0.91,0.0051
18.2,0.0002,0.95,0.92,0.0047
18.3,0.0002,0.95,0.88,0.0068
18.4,0.0002,0.96,0.94,0.004
18.5,0.0002,0.95,0.94,0.0045
18.6,0.0002,0.97,0.91,0.004
18.69,0.0002,0.95,0.95,0.0034
18.79,0.0002,0.96,0.92,0.0045
18.89,0.0002,0.96,0.92,0.0052
18.99,0.0002,0.96,0.94,0.0044
19.1,0.0002,0.97,0.92,0.0041
19.2,0.0002,0.97,0.92,0.0035
19.3,0.0002,0.96,0.94,0.004
19.4,0.0002,0.96,0.94,0.0044
19.5,0.0002,0.96,0.94,0.0052
19.6,0.0002,0.95,0.91,0.006
19.69,0.0002,0.95,0.94,0.0054
